0, 207
208, 292
293, 513
514, 668
669, 815
816, 908
909, 1054
1055, 1149
1150, 1241
1242, 1501
1502, 1630
1631, 1797
1798, 1887
1888, 2014
2015, 2092
2093, 2186
2187, 2439
2440, 2961
2962, 3049
3050, 3153
3154, 3271
3272, 3669
3670, 3936
3937, 4056
4057, 4143
4144, 4258
4259, 4379
4380, 4551
4552, 4851
4852, 4976
4978, 5148
5149, 5294
5295, 5411
5412, 5510
5511, 5612
5613, 5816
5817, 6211
6212, 6334
6335, 6509
6510, 6644
6645, 6814
6815, 6995
6996, 7123
7124, 7417
7418, 7519
7520, 7618
7619, 7699
7700, 7802
7803, 7958
7959, 8124
8125, 8230
8231, 8445
8446, 8628
8629, 8760
8761, 8898
8899, 8987
8988, 9133
9134, 9251
9252, 9372
9373, 9724
9725, 9820
9821, 9977
9978, 10121
10122, 10228
10229, 10348
10349, 10472
10473, 10573
10574, 10727
10728, 10817
10818, 10980
10981, 11107
11108, 11242
11243, 11396
11397, 11485
11486, 11894
11895, 12001
12002, 12284
12285, 12475
12476, 12618
12619, 12880
12881, 12998
12999, 13124
13125, 13293
13294, 13376
13377, 13775
13776, 13921
13922, 14019
14020, 14115
14116, 14348
14349, 14423
14424, 14579
14580, 14771
14772, 14874
14875, 15051
15052, 15155
15156, 15586
15587, 15847
15848, 15938
15939, 16018
16019, 16173
16174, 16275
16276, 16493
16494, 16571
16572, 16767
16768, 16842
16843, 16989
16990, 17128
17129, 17228
17229, 17417
17418, 17530
17531, 17656
17657, 17865
17866, 17954
17955, 18043
18044, 18182
18183, 18392
18393, 18547
18548, 18660
18661, 18835
18836, 18993
18994, 19071
19072, 19217
19218, 19332
19333, 19536
19537, 19800
19801, 20006
20007, 20116
20117, 20234
20235, 20396
20397, 20504
20505, 20628
20629, 20765
20766, 20858
20859, 20946
20947, 21052
21053, 21190
21191, 21307
21308, 21539
21540, 21736
21737, 21839
21840, 22058
22059, 22186
22187, 22258
22259, 22389
22390, 22657
22658, 22842
22843, 22994
22995, 23092
23093, 23186
23187, 23254
23255, 23365
23366, 23524
23525, 23696
